0,1,1
0,2,1
0,3,1
0,4,1
0,5,1
0,6,1
0,7,1
1,2,1
1,4,1
1,5,1
1,6,1
1,8,1
2,3,1
2,4,1
2,5,1
2,6,1
2,7,1
2,8,1
3,4,1
3,5,1
3,6,1
3,8,1
4,5,1
4,6,1
4,8,1
5,6,1
5,7,1
5,13,1
6,7,1
6,8,1
6,9,1
6,10,1
6,11,1
6,12,1
6,14,1
6,15,1
7,8,1
7,9,1
7,10,1
7,11,1
7,12,1
7,13,1
7,15,1
7,16,1
7,17,1
8,9,1
8,12,1
8,13,1
8,14,1
9,10,1
9,11,1
9,12,1
9,13,1
9,14,1
10,11,1
10,12,1
10,13,1
10,14,1
11,12,1
11,13,1
12,13,1
13,14,1
13,16,1
13,17,1
1,0,1
2,0,1
3,0,1
4,0,1
5,0,1
6,0,1
7,0,1
2,1,1
4,1,1
5,1,1
6,1,1
8,1,1
3,2,1
4,2,1
5,2,1
6,2,1
7,2,1
8,2,1
4,3,1
5,3,1
6,3,1
8,3,1
5,4,1
6,4,1
8,4,1
6,5,1
7,5,1
13,5,1
7,6,1
8,6,1
9,6,1
10,6,1
11,6,1
12,6,1
14,6,1
15,6,1
8,7,1
9,7,1
10,7,1
11,7,1
12,7,1
13,7,1
15,7,1
16,7,1
17,7,1
9,8,1
12,8,1
13,8,1
14,8,1
10,9,1
11,9,1
12,9,1
13,9,1
14,9,1
11,10,1
12,10,1
13,10,1
14,10,1
12,11,1
13,11,1
13,12,1
14,13,1
16,13,1
17,13,1
